"Legislative Branch","Judicial Branch","Department of Agriculture","Department of Commerce","Department of Defense--Military Programs","Department of Education","Department of Energy","Department of Health and Human Services","Department of Homeland Security","Department of Housing and Urban Development","Department of the Interior","Department of Justice","Department of Labor","Department of State","Department of Transportation","Department of the Treasury","Department of Veterans Affairs","Corps of Engineers--Civil Works","Other Defense Civil Programs","Environmental Protection Agency","Executive Office of the President","General Services Administration","International Assistance Programs","National Aeronautics and Space Administration","National Science Foundation","Office of Personnel Management","Small Business Administration","Social Security Administration","Other Independent Agencies","Undistributed Offsetting Receipts","Total"
0,0,0.6,0,3.4,0.5,0.2,4.5,0.3,0.3,0.1,0.2,0.6,0.1,0.4,3.2,0.5,0,0.4,0.1,0,0,0.1,0.1,0,0.5,0,4.5,0.1,-1.9,19.1
0,0,0.6,0,3.6,0.5,0.2,4.5,0.2,0.4,0.1,0.2,0.5,0.1,0.5,3.1,0.5,0,0.3,0.1,0,0,0.1,0.1,0,0.5,0,4.4,0,-1.8,19
0,0,0.7,0,3.7,0.6,0.2,4.5,0.3,0.3,0.1,0.2,0.4,0.1,0.4,3.2,0.5,0,0.3,0.1,0.1,0,0.1,0.1,0,0.5,0,4.4,0.1,-1.8,19.2
0,0,0.7,0,3.6,0.7,0.1,4.5,0.5,0.3,0.1,0.2,0.3,0.1,0.4,3.4,0.5,0.1,0.3,0.1,0,0,0.1,0.1,0,0.5,0,4.3,0.1,-1.7,19.4
0,0,0.6,0,3.7,0.5,0.1,4.7,0.3,0.3,0.1,0.2,0.3,0.1,0.4,3.4,0.5,0,0.3,0.1,0,0,0.1,0.1,0,0.4,0,4.3,0.1,-1.8,19.1
0,0,0.6,0.1,4,0.4,0.1,4.7,0.3,0.3,0.1,0.2,0.4,0.1,0.4,3.7,0.6,0,0.3,0.1,0,0,0.1,0.1,0,0.4,0,4.5,0.3,-1.9,20.2
0,0,0.8,0.1,4.4,0.4,0.2,5.5,0.4,0.4,0.1,0.2,1,0.1,0.5,4.9,0.7,0,0.4,0.1,0,0,0.1,0.1,0,0.5,0,5,0.3,-1.9,24.4
0,0,0.9,0.1,4.5,0.6,0.2,5.8,0.3,0.4,0.1,0.2,1.2,0.2,0.5,3,0.7,0.1,0.4,0.1,0,0,0.1,0.1,0,0.5,0,5.1,0,-1.8,23.4
0,0,0.9,0.1,4.4,0.4,0.2,5.8,0.3,0.4,0.1,0.2,0.9,0.2,0.5,3.5,0.8,0.1,0.4,0.1,0,0,0.1,0.1,0,0.5,0,5.1,0.1,-1.8,23.4
0,0,0.9,0.1,4.1,0.4,0.2,5.3,0.3,0.3,0.1,0.2,0.7,0.2,0.5,2.9,0.8,0,0.5,0.1,0,0,0.1,0.1,0,0.5,0,5.1,0.2,-1.4,22.1
0,0,0.9,0.1,3.7,0.2,0.1,5.4,0.3,0.3,0.1,0.2,0.5,0.2,0.5,2.4,0.8,0,0.3,0.1,0,0,0.1,0.1,0,0.5,0,5.3,0.2,-1.5,20.9
0,0,0.8,0,3.4,0.3,0.1,5.4,0.3,0.2,0.1,0.2,0.3,0.2,0.4,2.6,0.9,0,0.3,0.1,0,0,0.1,0.1,0,0.5,0,5.3,0,-1.4,20.4
0,0,0.8,0.1,3.2,0.5,0.1,5.8,0.2,0.2,0.1,0.2,0.3,0.1,0.4,2.7,0.9,0,0.4,0,0,0,0.1,0.1,0,0.5,0,5.3,0.1,-1.4,20.7
