country,gdp_2015
World,7.52417E+13
United States,1.65974E+13
China,8.90981E+12
Japan,5.98614E+12
Germany,3.69683E+12
France,2.77481E+12
UK,2.68218E+12
Brazil,2.33036E+12
India,2.29663E+12
Italy,2.05811E+12
Canada,1.7963E+12
Russia,1.63164E+12
Spain,1.41494E+12
Australia,1.30102E+12
Korea,1.26658E+12
Mexico,1.20801E+12
