"Year","Legislative Branch","Judicial Branch","Department of Agriculture","Department of Commerce","Department of Defense--Military Programs","Department of Education","Department of Energy","Department of Health and Human Services","Department of Homeland Security","Department of Housing and Urban Development","Department of the Interior","Department of Justice","Department of Labor","Department of State","Department of Transportation","Department of the Treasury","Department of Veterans Affairs","Corps of Engineers--Civil Works","Other Defense Civil Programs","Environmental Protection Agency","Executive Office of the President","General Services Administration","International Assistance Programs","National Aeronautics and Space Administration","National Science Foundation","Office of Personnel Management","Small Business Administration","Social Security Administration","Other Independent Agencies","Undistributed Offsetting Receipts","Total"
1986,0.2,0.1,5.9,0.2,26.8,1.8,1.1,12.4,0.5,1.4,0.5,0.3,2.5,0.4,2.5,18,2.7,0.3,1.8,0.5,0,0.1,1.1,0.7,0.2,2.4,0.1,21.3,0.9,-6.6,100
1987,0.2,0.1,4.9,0.2,27.3,1.7,1.1,13.1,0.5,1.5,0.5,0.4,2.4,0.4,2.3,17.8,2.7,0.3,1.8,0.5,0,0,1,0.8,0.2,2.7,0,21.8,1.1,-7.2,100
1988,0.2,0.1,4.1,0.2,26.5,1.7,1,13.2,0.6,1.8,0.5,0.4,2.1,0.4,2.2,18.8,2.7,0.3,1.8,0.5,0,0,0.7,0.9,0.2,2.7,0,21.9,2,-7.4,100
1989,0.2,0.1,4.2,0.2,25.8,1.9,1,13.3,0.5,1.7,0.5,0.5,2.2,0.4,2.1,19.9,2.6,0.3,1.8,0.4,0,0,0.4,1,0.2,2.5,0,21.5,2.7,-7.8,100
1990,0.2,0.1,3.7,0.3,23.1,1.8,1,14,0.6,1.6,0.5,0.5,2.1,0.4,2,20.3,2.3,0.3,1.7,0.4,0,0,0.8,1,0.1,2.5,0.1,21,5.6,-7.9,100
1991,0.2,0.2,4.1,0.2,19.8,1.9,0.9,15,0.5,1.7,0.5,0.6,2.6,0.4,2.1,20.7,2.4,0.3,1.8,0.4,0,0,0.9,1,0.2,2.6,0,21.5,5.9,-8.3,100
1992,0.2,0.2,4.1,0.2,20.7,1.9,1.1,16.8,0.5,1.8,0.5,0.7,3.5,0.4,2.1,21.1,2.5,0.3,1.8,0.4,0,0,0.8,1,0.2,2.6,0,22.2,1,-8.5,100
1993,0.2,0.2,4.5,0.2,19.8,2.1,1.2,18,0.7,1.8,0.5,0.7,3.2,0.5,2.2,21.1,2.5,0.2,1.8,0.4,0,0.1,0.8,1,0.2,2.6,0.1,23.2,-1.1,-8.5,100
1994,0.2,0.2,4.1,0.2,18.4,1.7,1.2,19.1,0.7,1.8,0.5,0.6,2.6,0.5,2.3,20.9,2.6,0.2,1.8,0.4,0,0,0.7,0.9,0.2,2.6,0.1,23.6,0.3,-8.4,100
1995,0.2,0.2,3.7,0.2,17.1,2.1,1.2,20,0.6,1.9,0.5,0.7,2.2,0.4,2.3,22.9,2.5,0.2,1.8,0.4,0,0,0.7,0.9,0.2,2.7,0,23.8,-0.5,-9.1,100
