Superfunction and Function,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Community and Regional Development,285,123,113,219,238,243,200,302,78,-33,30,47,73,117,100,129,92,135,169,211,224,275,469,574,933,1114,1105,1108,1382,1552,2392,2917,3423,4605,4229,4322,5442,7021,11841,10480,11252,10568,8347,7564,7673,7676,7233,5049,5293,5362,8531,6810,6836,9146,10620,10746,10741,11049,9771,11865,10623,11773,12981,18850,15820,26262,54465,29567,23952,27676,23894,23883,25132,32336,20670,20670
Net interest,899,943,1052,1529,2219,3112,4111,4204,4341,4523,4812,4665,4701,5156,4811,4850,5079,5354,5604,5762,6947,6716,6889,7740,8199,8591,9386,10268,11090,12699,14380,14841,15478,17349,21449,23244,26727,29901,35458,42633,52533,68766,85032,89808,111102,129478,136017,138611,151803,168981,184347,194448,199344,198713,202932,232134,241053,243984,241118,229755,222949,206167,170949,153073,160245,183986,226603,237109,252757,186902,196194,229962,220408,220885,228956,223181
Other functions,775,882,1830,2457,3864,4418,3580,7900,5851,9032,7955,4690,4346,5873,4515,6718,7482,7220,6896,9229,7760,8621,12401,14437,16458,17086,16911,17126,17786,18151,17286,16379,18828,24950,24423,27487,27050,34315,39594,40396,44996,47095,51068,59015,55214,68160,73652,62513,57169,58063,60468,70879,74934,82443,74725,73099,68859,74362,82206,98101,113777,107049,117026,123030,133252,141743,138245,130338,142437,162781,174048,179345,178353,185155,177012,169360
International Affairs,51,145,968,1286,1449,1913,1935,5791,4566,6052,4673,3647,2691,2119,1596,2223,2414,3147,3364,3144,2988,3184,5639,5308,4945,5273,5580,5566,5301,4600,4330,4159,4781,4149,5710,7097,6433,6353,7482,7459,12714,13104,12300,11848,15869,16169,14146,11645,10466,9583,13758,15846,16090,17218,17067,16429,13487,15173,13054,15239,17213,16485,22315,21199,26870,34565,29499,28482,28857,37529,45195,45685,47184,46231,46686,48576
"General Science, Space, and Technology",0,0,4,1,48,111,34,5,1,48,55,51,49,49,46,74,79,122,141,294,599,1042,1723,3051,4897,5823,6717,6233,5524,5020,4511,4182,4175,4032,3980,3991,4373,4736,4926,5234,5831,6468,7199,7934,8311,8622,8962,9200,10820,12821,14426,16092,16389,17006,16189,16692,16684,17136,18172,18084,18594,19753,20734,20831,23029,23597,23584,24407,26773,28417,30100,29466,29060,28908,28570,29412
Agriculture,369,339,344,343,1275,1635,610,814,69,1924,2049,-323,176,2253,1817,3514,3486,2288,2411,4509,2623,2641,3562,4384,4609,3954,2447,2990,4544,5826,5166,4290,5227,4821,2194,2997,3109,6734,11301,11176,8774,11241,15866,22807,13477,25427,31319,26466,17088,16698,11637,14886,14922,20081,14795,9671,9035,8889,12077,22879,36458,26252,21965,22496,15439,26565,25969,17662,18387,22237,21356,20662,17791,29678,24386,18500
Administration of Justice,81,92,117,154,192,178,176,176,170,184,193,218,267,243,257,256,302,303,325,356,366,400,429,465,489,536,564,618,659,766,959,1307,1684,2174,2505,3028,3430,3701,3923,4286,4702,4908,4842,5246,5811,6426,6735,7715,9397,9644,10185,12486,14650,15193,15516,16508,17898,20617,23359,26536,28499,30201,35061,35340,45576,40019,41016,42362,48097,52581,54383,56056,56277,52601,50457,51903
General Government,274,306,397,673,900,581,825,1114,1045,824,986,1097,1163,1209,799,651,1201,1360,655,926,1184,1354,1049,1230,1518,1499,1603,1719,1757,1939,2320,2442,2960,9774,10032,10374,9706,12791,11961,12241,12975,11373,10861,11181,11746,11515,12491,7487,9399,9317,10462,11568,12883,12944,11159,13799,11755,12547,15544,15363,13013,14358,16951,23164,22338,16997,18177,17425,20323,22017,23014,27476,28041,27737,26913,20969
Undistributed offsetting receipts,-317,-547,-894,-1221,-1320,-1389,-1468,-1552,-1643,-1779,-1817,-2332,-3377,-3571,-3397,-3493,-3589,-4146,-4385,-4613,-4820,-4807,-5274,-5797,-5708,-5908,-6542,-7294,-8045,-7986,-8632,-10107,-9583,-13409,-16749,-13602,-14386,-14879,-15720,-17476,-19942,-28041,-26099,-33976,-31957,-32698,-33007,-36455,-36967,-37212,-36615,-39356,-39280,-37386,-37772,-44455,-37620,-49973,-47194,-40445,-42581,-47011,-47392,-54382,-58537,-65224,-68250,-82238,-86242,-92639,-82116,-88467,-103536,-92785,-88044,-115803
Total,9468,13653,35137,78555,91304,92712,55232,34496,29764,38835,42562,45514,67686,76101,70855,68444,70640,76578,82405,92098,92191,97723,106821,111316,118528,118228,134532,157464,178134,183640,195649,210172,230681,245707,269359,332332,371792,409218,458746,504028,590941,678241,745743,808364,851805,946344,990382,1004017,1064416,1143743,1252993,1324226,1381529,1409386,1461752,1515742,1560484,1601116,1652458,1701842,1788950,1862846,2010894,2159899,2292841,2471957,2655050,2728686,2982544,3517677,3457079,3603056,3536951,3454647,3506114,3688292
