Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
United States,3078070000000,3148870000000,3340950000000,3487950000000,3690250000000,3926430000000,4181640000000,4286190000000,4491920000000,4631170000000,4779680000000,4937200000000,5197060000000,5490330000000,5461940000000,5451140000000,5744740000000,6009500000000,6343730000000,6545180000000,6529170000000,6698570000000,6570570000000,6874950000000,7374010000000,7686570000000,7956490000000,8231930000000,8578000000000,8893710000000,9064410000000,9057700000000,9379740000000,9637290000000,10026400000000,10299000000000,10690000000000,11169600000000,11666700000000,12213300000000,12713100000000,12837100000000,13066400000000,13433200000000,13941700000000,14408100000000,14792300000000,15055400000000,15011500000000,14594800000000,14964400000000,15204000000000,15542200000000,15802900000000,16177500000000,16597400000000
World,11198700000000,11681800000000,12330700000000,12972300000000,13835600000000,14606200000000,15451200000000,16132200000000,17129000000000,18176700000000,18969400000000,19777000000000,20901900000000,22253700000000,22693400000000,22900200000000,24106300000000,25070800000000,26096400000000,27170500000000,27709000000000,28250500000000,28400000000000,29110300000000,30437800000000,31628500000000,32655100000000,33833700000000,35396600000000,36727700000000,37809300000000,38324200000000,39005300000000,39646200000000,40842300000000,42088100000000,43514200000000,45114900000000,46250400000000,47771500000000,49868500000000,50849000000000,51948800000000,53445600000000,55823500000000,57971400000000,60486000000000,63062400000000,64215600000000,63121600000000,65853000000000,67905900000000,69544700000000,71307500000000,73251700000000,75241700000000
